seed,fold,cell,method,human_worker_rows,matched_rows,unmatched_rows,matched_overall_exact,decision_rate_all_human_rows,review_or_unmatched_rate,human_unsafe_denominator,unsafe_auto_safe_errors,unsafe_auto_safe_rate,unsafe_composite_errors,unsafe_composite_rate,human_safe_to_unsafe,human_unsafe_to_safe,human_review_to_safe,human_review_to_unsafe
1,1,r10_s1_f1,global_pooling,196,162,34,0.5123456790123457,0.7602040816326531,0.23979591836734693,85,47,0.5529411764705883,58,0.6823529411764706,4,47,16,7
1,2,r10_s1_f2,proposed_lexicographic,274,226,48,0.5353982300884956,0.6058394160583942,0.39416058394160586,127,52,0.4094488188976378,68,0.5354330708661418,9,52,14,6
1,2,r10_s1_f2,max_iou,274,226,48,0.5353982300884956,0.5985401459854015,0.40145985401459855,127,51,0.4015748031496063,67,0.5275590551181102,8,51,14,6
1,2,r10_s1_f2,center_inside,274,226,48,0.5353982300884956,0.6131386861313869,0.38686131386861317,127,52,0.4094488188976378,68,0.5354330708661418,9,52,15,6
1,2,r10_s1_f2,hungarian_iou,274,226,48,0.5353982300884956,0.5985401459854015,0.40145985401459855,127,51,0.4015748031496063,67,0.5275590551181102,8,51,14,6
1,2,r10_s1_f2,global_pooling,274,226,48,0.4469026548672566,0.8065693430656934,0.19343065693430658,127,61,0.48031496062992124,77,0.6062992125984252,11,61,42,10
2,0,r10_s2_f0,proposed_lexicographic,216,181,35,0.5911602209944752,0.5972222222222222,0.4027777777777778,130,29,0.2230769230769231,40,0.3076923076923077,3,29,7,2
2,0,r10_s2_f0,max_iou,216,181,35,0.580110497237569,0.5833333333333334,0.4166666666666667,130,29,0.2230769230769231,40,0.3076923076923077,2,29,7,2
2,0,r10_s2_f0,center_inside,216,181,35,0.585635359116022,0.5879629629629629,0.41203703703703703,130,28,0.2153846153846154,39,0.3,3,28,7,2
2,0,r10_s2_f0,hungarian_iou,216,181,35,0.5911602209944752,0.6018518518518519,0.39814814814814814,130,28,0.2153846153846154,39,0.3,3,28,8,2
2,0,r10_s2_f0,global_pooling,216,181,35,0.15469613259668508,0.0,1.0,130,0,0.0,11,0.08461538461538462,0,0,0,0
2,1,r10_s2_f1,proposed_lexicographic,196,154,42,0.6038961038961039,0.5867346938775511,0.413265306122449,85,24,0.2823529411764706,37,0.43529411764705883,4,24,8,3
2,1,r10_s2_f1,max_iou,196,154,42,0.5974025974025974,0.5816326530612245,0.41836734693877553,85,24,0.2823529411764706,37,0.43529411764705883,4,24,8,3
2,1,r10_s2_f1,center_inside,196,154,42,0.5974025974025974,0.5867346938775511,0.413265306122449,85,25,0.29411764705882354,38,0.4470588235294118,4,25,8,3
2,1,r10_s2_f1,hungarian_iou,196,154,42,0.5974025974025974,0.5867346938775511,0.413265306122449,85,25,0.29411764705882354,38,0.4470588235294118,4,25,8,3
2,1,r10_s2_f1,global_pooling,196,154,42,0.18181818181818182,0.0,1.0,85,0,0.0,13,0.15294117647058825,0,0,0,0
2,2,r10_s2_f2,proposed_lexicographic,274,224,50,0.5,0.572992700729927,0.42700729927007297,127,60,0.47244094488188976,76,0.5984251968503937,3,60,13,5
2,2,r10_s2_f2,max_iou,274,224,50,0.48660714285714285,0.5583941605839416,0.4416058394160584,127,59,0.4645669291338583,75,0.5905511811023622,3,59,13,5
2,2,r10_s2_f2,center_inside,274,224,50,0.5,0.5693430656934306,0.4306569343065693,127,59,0.4645669291338583,75,0.5905511811023622,3,59,13,5
2,2,r10_s2_f2,hungarian_iou,274,224,50,0.49107142857142855,0.572992700729927,0.42700729927007297,127,62,0.4881889763779528,78,0.6141732283464567,3,62,13,5
2,2,r10_s2_f2,global_pooling,274,224,50,0.38839285714285715,0.7664233576642335,0.23357664233576642,127,82,0.6456692913385826,98,0.7716535433070866,7,82,39,5
3,0,r10_s3_f0,proposed_lexicographic,216,184,32,0.6086956521739131,0.7037037037037037,0.2962962962962963,130,38,0.2923076923076923,47,0.36153846153846153,4,38,6,7
3,0,r10_s3_f0,max_iou,216,184,32,0.5978260869565217,0.6944444444444444,0.3055555555555556,130,38,0.2923076923076923,47,0.36153846153846153,4,38,6,7
3,0,r10_s3_f0,center_inside,216,184,32,0.6032608695652174,0.6990740740740741,0.30092592592592593,130,38,0.2923076923076923,47,0.36153846153846153,4,38,6,7
