seed,fold,cell,method,source_group,rows,matched,unmatched,matched_exact,unsafe_n,unsafe_auto_safe_errors,unsafe_composite_errors,fallback_cells
2,2,r10_s2_f2,center_inside,7_tunnel,66,56,10,0.6428571428571429,39,12,16,0
2,2,r10_s2_f2,hungarian_iou,10_tunnel,73,67,6,0.47761194029850745,27,18,22,0
2,2,r10_s2_f2,hungarian_iou,3_tunnel,66,49,17,0.3469387755102041,34,20,23,0
2,2,r10_s2_f2,hungarian_iou,4_tunnel,69,52,17,0.4807692307692308,27,12,17,0
2,2,r10_s2_f2,hungarian_iou,7_tunnel,66,56,10,0.6428571428571429,39,12,16,0
2,2,r10_s2_f2,global_pooling,10_tunnel,73,67,6,0.47761194029850745,27,23,27,0
2,2,r10_s2_f2,global_pooling,3_tunnel,66,49,17,0.30612244897959184,34,24,27,0
2,2,r10_s2_f2,global_pooling,4_tunnel,69,52,17,0.21153846153846154,27,22,27,0
2,2,r10_s2_f2,global_pooling,7_tunnel,66,56,10,0.5178571428571429,39,13,17,0
3,0,r10_s3_f0,proposed_lexicographic,11_tunnel,64,54,10,0.48148148148148145,29,16,18,0
3,0,r10_s3_f0,proposed_lexicographic,5_tunnel,41,25,16,0.76,16,3,8,0
3,0,r10_s3_f0,proposed_lexicographic,6_tunnel,71,65,6,0.4307692307692308,46,19,21,0
3,0,r10_s3_f0,proposed_lexicographic,8_tunnel,40,40,0,0.975,39,0,0,0
3,0,r10_s3_f0,max_iou,11_tunnel,64,54,10,0.48148148148148145,29,16,18,0
3,0,r10_s3_f0,max_iou,5_tunnel,41,25,16,0.76,16,3,8,0
3,0,r10_s3_f0,max_iou,6_tunnel,71,65,6,0.4,46,19,21,0
3,0,r10_s3_f0,max_iou,8_tunnel,40,40,0,0.975,39,0,0,0
3,0,r10_s3_f0,center_inside,11_tunnel,64,54,10,0.48148148148148145,29,16,18,0
3,0,r10_s3_f0,center_inside,5_tunnel,41,25,16,0.76,16,3,8,0
3,0,r10_s3_f0,center_inside,6_tunnel,71,65,6,0.4307692307692308,46,19,21,0
3,0,r10_s3_f0,center_inside,8_tunnel,40,40,0,0.95,39,0,0,0
3,0,r10_s3_f0,hungarian_iou,11_tunnel,64,54,10,0.48148148148148145,29,16,18,0
3,0,r10_s3_f0,hungarian_iou,5_tunnel,41,25,16,0.76,16,3,8,0
3,0,r10_s3_f0,hungarian_iou,6_tunnel,71,65,6,0.4307692307692308,46,20,22,0
3,0,r10_s3_f0,hungarian_iou,8_tunnel,40,40,0,0.975,39,0,0,0
3,0,r10_s3_f0,global_pooling,11_tunnel,64,54,10,0.16666666666666666,29,0,2,64
3,0,r10_s3_f0,global_pooling,5_tunnel,41,25,16,0.36,16,0,5,41
3,0,r10_s3_f0,global_pooling,6_tunnel,71,65,6,0.13846153846153847,46,0,2,71
3,0,r10_s3_f0,global_pooling,8_tunnel,40,40,0,0.025,39,0,0,40
3,1,r10_s3_f1,proposed_lexicographic,1_tunnel,58,45,13,0.4444444444444444,26,15,20,0
3,1,r10_s3_f1,proposed_lexicographic,2_tunnel,65,42,23,0.5238095238095238,14,6,8,0
3,1,r10_s3_f1,proposed_lexicographic,9_tunnel,73,68,5,0.6176470588235294,45,8,10,0
3,1,r10_s3_f1,max_iou,1_tunnel,58,45,13,0.4444444444444444,26,15,20,0
3,1,r10_s3_f1,max_iou,2_tunnel,65,42,23,0.5238095238095238,14,5,7,0
3,1,r10_s3_f1,max_iou,9_tunnel,73,68,5,0.6176470588235294,45,8,10,0
3,1,r10_s3_f1,center_inside,1_tunnel,58,45,13,0.4444444444444444,26,16,21,0
3,1,r10_s3_f1,center_inside,2_tunnel,65,42,23,0.5,14,6,8,0
3,1,r10_s3_f1,center_inside,9_tunnel,73,68,5,0.6323529411764706,45,7,9,0
3,1,r10_s3_f1,hungarian_iou,1_tunnel,58,45,13,0.4444444444444444,26,16,21,0
3,1,r10_s3_f1,hungarian_iou,2_tunnel,65,42,23,0.5238095238095238,14,5,7,0
3,1,r10_s3_f1,hungarian_iou,9_tunnel,73,68,5,0.6176470588235294,45,8,10,0
3,1,r10_s3_f1,global_pooling,1_tunnel,58,45,13,0.4222222222222222,26,13,18,0
3,1,r10_s3_f1,global_pooling,2_tunnel,65,42,23,0.5476190476190477,14,10,12,0
3,1,r10_s3_f1,global_pooling,9_tunnel,73,68,5,0.4411764705882353,45,15,17,0
3,2,r10_s3_f2,proposed_lexicographic,10_tunnel,73,67,6,0.5970149253731343,27,16,20,0
3,2,r10_s3_f2,proposed_lexicographic,3_tunnel,66,47,19,0.48936170212765956,34,12,16,0
3,2,r10_s3_f2,proposed_lexicographic,4_tunnel,69,53,16,0.41509433962264153,27,15,19,0
3,2,r10_s3_f2,proposed_lexicographic,7_tunnel,66,56,10,0.5714285714285714,39,13,16,0
3,2,r10_s3_f2,max_iou,10_tunnel,73,67,6,0.5970149253731343,27,16,20,0
3,2,r10_s3_f2,max_iou,3_tunnel,66,47,19,0.48936170212765956,34,12,16,0
3,2,r10_s3_f2,max_iou,4_tunnel,69,53,16,0.41509433962264153,27,15,19,0
3,2,r10_s3_f2,max_iou,7_tunnel,66,56,10,0.5714285714285714,39,13,16,0
3,2,r10_s3_f2,center_inside,10_tunnel,73,67,6,0.582089552238806,27,15,19,0
3,2,r10_s3_f2,center_inside,3_tunnel,66,47,19,0.48936170212765956,34,12,16,0
3,2,r10_s3_f2,center_inside,4_tunnel,69,53,16,0.41509433962264153,27,15,19,0
3,2,r10_s3_f2,center_inside,7_tunnel,66,56,10,0.5714285714285714,39,13,16,0
3,2,r10_s3_f2,hungarian_iou,10_tunnel,73,67,6,0.5970149253731343,27,16,20,0
3,2,r10_s3_f2,hungarian_iou,3_tunnel,66,47,19,0.48936170212765956,34,13,17,0
3,2,r10_s3_f2,hungarian_iou,4_tunnel,69,53,16,0.41509433962264153,27,15,19,0
3,2,r10_s3_f2,hungarian_iou,7_tunnel,66,56,10,0.5714285714285714,39,13,16,0
3,2,r10_s3_f2,global_pooling,10_tunnel,73,67,6,0.4626865671641791,27,18,22,0
3,2,r10_s3_f2,global_pooling,3_tunnel,66,47,19,0.48936170212765956,34,14,18,0
3,2,r10_s3_f2,global_pooling,4_tunnel,69,53,16,0.22641509433962265,27,23,27,0
3,2,r10_s3_f2,global_pooling,7_tunnel,66,56,10,0.48214285714285715,39,17,20,0
4,0,r10_s4_f0,proposed_lexicographic,11_tunnel,64,52,12,0.5576923076923077,29,12,16,0
4,0,r10_s4_f0,proposed_lexicographic,5_tunnel,41,21,20,0.6666666666666666,16,3,7,0
4,0,r10_s4_f0,proposed_lexicographic,6_tunnel,71,65,6,0.47692307692307695,46,19,21,0
4,0,r10_s4_f0,proposed_lexicographic,8_tunnel,40,40,0,0.95,39,0,0,0
4,0,r10_s4_f0,max_iou,11_tunnel,64,52,12,0.5576923076923077,29,12,16,0
4,0,r10_s4_f0,max_iou,5_tunnel,41,21,20,0.6666666666666666,16,3,7,0
4,0,r10_s4_f0,max_iou,6_tunnel,71,65,6,0.47692307692307695,46,19,21,0
4,0,r10_s4_f0,max_iou,8_tunnel,40,40,0,0.925,39,0,0,0
4,0,r10_s4_f0,center_inside,11_tunnel,64,52,12,0.5384615384615384,29,12,16,0
4,0,r10_s4_f0,center_inside,5_tunnel,41,21,20,0.6666666666666666,16,3,7,0
4,0,r10_s4_f0,center_inside,6_tunnel,71,65,6,0.5076923076923077,46,18,20,0
4,0,r10_s4_f0,center_inside,8_tunnel,40,40,0,0.95,39,0,0,0
4,0,r10_s4_f0,hungarian_iou,11_tunnel,64,52,12,0.5576923076923077,29,12,16,0
4,0,r10_s4_f0,hungarian_iou,5_tunnel,41,21,20,0.6666666666666666,16,3,7,0
4,0,r10_s4_f0,hungarian_iou,6_tunnel,71,65,6,0.47692307692307695,46,19,21,0
4,0,r10_s4_f0,hungarian_iou,8_tunnel,40,40,0,0.925,39,0,0,0
4,0,r10_s4_f0,global_pooling,11_tunnel,64,52,12,0.17307692307692307,29,0,4,64
4,0,r10_s4_f0,global_pooling,5_tunnel,41,21,20,0.23809523809523808,16,0,4,41
4,0,r10_s4_f0,global_pooling,6_tunnel,71,65,6,0.13846153846153847,46,0,2,71
4,0,r10_s4_f0,global_pooling,8_tunnel,40,40,0,0.025,39,0,0,40
4,1,r10_s4_f1,proposed_lexicographic,1_tunnel,58,47,11,0.3829787234042553,26,14,18,0
4,1,r10_s4_f1,proposed_lexicographic,2_tunnel,65,50,15,0.54,14,7,9,0
4,1,r10_s4_f1,proposed_lexicographic,9_tunnel,73,66,7,0.7272727272727273,45,6,9,0
4,1,r10_s4_f1,max_iou,1_tunnel,58,47,11,0.3829787234042553,26,14,18,0
4,1,r10_s4_f1,max_iou,2_tunnel,65,50,15,0.54,14,7,9,0
4,1,r10_s4_f1,max_iou,9_tunnel,73,66,7,0.7121212121212122,45,6,9,0
4,1,r10_s4_f1,center_inside,1_tunnel,58,47,11,0.3829787234042553,26,13,17,0
4,1,r10_s4_f1,center_inside,2_tunnel,65,50,15,0.56,14,7,9,0
4,1,r10_s4_f1,center_inside,9_tunnel,73,66,7,0.7272727272727273,45,6,9,0
4,1,r10_s4_f1,hungarian_iou,1_tunnel,58,47,11,0.3829787234042553,26,14,18,0
4,1,r10_s4_f1,hungarian_iou,2_tunnel,65,50,15,0.54,14,7,9,0
4,1,r10_s4_f1,hungarian_iou,9_tunnel,73,66,7,0.7272727272727273,45,6,9,0
4,1,r10_s4_f1,global_pooling,1_tunnel,58,47,11,0.1702127659574468,26,0,4,58
4,1,r10_s4_f1,global_pooling,2_tunnel,65,50,15,0.28,14,0,2,65
4,1,r10_s4_f1,global_pooling,9_tunnel,73,66,7,0.15151515151515152,45,0,3,73
